Subject Line A;Subject Line B;Target
Attention all students: A college fair will be held at...;Attention all students: A college fair will be held at...;A
The local museum is hosting a free exhibit on the...;The local museum is hosting a free exhibit on the...;B
Attention all book lovers! Our local library is hosting a...;Attention All Book Lovers!;B
"The annual ""Taste of Our Town"" food festival is just...";"The annual ""Taste of Our Town"" food festival is just...";A
Attention all book lovers! Our local library is hosting a...;Attention all book lovers!;A
Local Artisans Wanted! We're organizing a holiday market at City...;Local Artisans Wanted!;B
Local art studio offering painting classes for adults and children....;No experience necessary, just bring your creativity!;A
Free yoga class at the park this Saturday from 9...;Free yoga class at the park this Saturday;A
Community clean-up event: Help keep our community beautiful by joining...;Help Keep Our Community Beautiful;A
Job opportunity! Local business seeking part-time sales associate. Apply in...;Job Opportunity!;A
Public Library hosting a book club discussion on 'The Great...;The Great Gatsby Book Club Discussion This Thursday;A
Free yoga class for beginners at the park next Saturday....;Free yoga class for beginners next Saturday.;B
Attention shoppers! The annual holiday market is coming up on...;Attention shoppers! The annual holiday market is coming up on...;A
Reminder: The annual Community Garage Sale is happening this Saturday...;The annual Community Garage Sale is happening this Saturday;B
Calling all book lovers! Our community library is hosting a...;Used Bookstore Sale This Weekend;B
Get ready for a night of music and fun! The...;Get Ready for a Night of Music and Fun;B
Neighborhood Garage Sale: Join us for a community-wide garage sale...;Neighborhood Garage Sale: Join us for a community-wide garage sale...;B
The local library is hosting an author reading series next...;Author Reading Series Next Month;B
For sale: Gently used bicycle in excellent condition, perfect for...;Gently Used Bicycle For Sale;A
Lost: A small, black wallet containing cash, credit cards, and...;Lost: A small, black wallet containing cash, credit cards, and...;A
Community Event: Join us at the park this Sunday for...;Join us at the park this Sunday for a free...;B
Calling all book lovers! Our community library is hosting a...;Used Book Sale This Saturday;B
Free yoga class: Join us for a free outdoor yoga...;Join us for a free outdoor yoga session at the...;A
Wanted: A vintage typewriter, preferably with working keys and a...;Wanted: Vintage Typewriter;B
"Book Club: Our book club is reading ""The Great Gatsby""...";The Great Gatsby;A
Join us at the local farmers' market this Sunday from...;Join us at the local farmers' market this Sunday;A
Book Club: Join us for a new book club starting...;Join Us for a New Book Club Starting Next Month;B
Join us for a free outdoor movie night this Friday...;Join us for a free outdoor movie night this Friday...;A
The local library is hosting a book drive to benefit...;The local library is hosting a book drive;A
Our town's annual SummerFest celebration will take place on July...;SummerFest Celebration on July 4th;A
The community garden is seeking volunteers to help with spring...;The Community Garden Needs Your Help;B
Join the local art league for a painting class this...;Join the local art league for a painting class this...;A
The local gardening club is hosting a spring plant sale...;This Saturday at the community center;B
Calling all bookworms! The library is hosting a used bookstore...;Used Bookstore Sale This Saturday;B
Free Yoga Session at Sunrise: Join us for a free...;Free Yoga Session at Sunrise;A
Calling all bookworms! The library is hosting a used bookstore...;Used Bookstore Sale This Saturday!;B
Attention all gardeners! The city's community gardening program is looking...;Attention All Gardeners!;B
Community Potluck: Join fellow neighbors for a potluck dinner at...;Join Fellow Neighbors for a Potluck Dinner;A
The annual town fair is just around the corner! This...;The annual town fair is just around the corner!;B
Calling all gardeners! The community garden is looking for new...;Join the Community Garden!;A
For Sale: Gently used baby equipment (stroller, car seat, high...;For Sale: Gently Used Baby Equipment;B
Attention all book lovers! The local library is hosting a...;Used Bookstore Sale This Weekend;B
Attention all book lovers! The library's annual book sale will...;Attention All Book Lovers!;A
Community Alert: A neighborhood clean-up initiative is scheduled for this...;Community Alert: Neighborhood Clean-up Initiative;A
Calling all musicians! The local music school is hosting an...;Calling all musicians!;A
"Local Business News: Our favorite coffee shop, ""The Daily Grind,""...";Buy-One-Get-One-Free Drinks!;B
Reminder: The annual town fair is just around the corner!...;The annual town fair is just around the corner!;A
The local food bank is hosting a drive to collect...;Let's Come Together as a Community to Make a Difference;B
The local library is hosting a book club for adults,...;Join us every third Thursday of the month to discuss...;A
Attention all gardeners! The city is hosting a free composting...;Attention All Gardeners!;B
Calling all book lovers! Our annual Book Sale will be...;Book Sale This Weekend at the Library;B
Get ready to groove with us! The city's summer concert...;Get Ready to Groove with Us;A
Attention all artists! Our annual Art Show will be held...;Attention All Artists!;A
Don't miss out on our free Yoga Day event next...;Don't miss out on our free Yoga Day event next...;B
Movie Night at the Park: Join us for a free...;Movie Night at the Park;A
The local farmers' market is looking for vendors to sell...;The local farmers' market is looking for vendors;A
The local library is hosting an author reading and book...;Meet Bestselling Author at Library Event;B
Free Books: A collection of gently used books available for...;Free Books;B
Community Garden Plot Available: We have an open plot in...;Community Garden Plot Available;A
Lost Cat: A friendly cat named Whiskers has gone missing...;Lost Cat: Grey and White Mix with Bright Green Eyes;B
Local Artisans Wanted: We're looking for local artisans who create...;Local Artisans Wanted;A
For sale: A gently used bicycle with a comfortable seat...;For Sale: Gently Used Bicycle;B
The local library is hosting a book club meeting this...;The local library is hosting a book club meeting this...;A
The local library is hosting a book club for adults...;The Local Library Book Club;A
We are seeking donations of gently used bicycles to support...;Gently Used Bicycles Needed for Bike-to-School Program;B
The city is organizing a neighborhood clean-up event this Saturday...;Neighborhood Clean-up Event This Saturday;A
I'm looking for recommendations on local hiking trails suitable for...;I'm looking for recommendations on local hiking trails suitable for...;B
Does anyone know of any upcoming concerts or music festivals...;Does anyone know of any upcoming concerts;A
The local farmers' market is looking for vendors to sell...;Join the community of local entrepreneurs and showcase your products!;B
Garage Sale Alert! This Saturday, come find some amazing deals...;Garage Sale Alert!;A
Community event: The annual SummerFest is coming up on July...;SummerFest is Coming Up on July 15th!;B
The town's annual holiday market is just around the corner!...;The town's annual holiday market is just around the corner!;A
Attention all residents: The annual community clean-up event is scheduled...;Attention All Residents: Join Community Clean-up Event This Saturday;B
The local library is hosting a book club discussion on...;Classical Literature Book Club Discussion;A
Reminder: The annual town clean-up event is scheduled for next...;The annual town clean-up event is scheduled for next Saturday!;B
New Book Club starting soon! Join fellow book lovers every...;New Book Club starting soon;A
Community Garden plots available! If you're interested in growing your...;Community Garden plots available!;A
"Local Business Spotlight: Our very own ""The Daily Grind"" coffee...";One-Year Anniversary Celebration!;B
Movie Night at the Community Center this Friday! Join us...;Movie Night at the Community Center this Friday!;B
Join us for a free yoga class at the park...;Join us for a free yoga class this Saturday!;A
Volunteer Opportunity: Help clean up our local beach on Sunday...;Volunteer Opportunity: Help clean up our local beach;A
Book Club Meeting: Discuss the latest bestseller over coffee and...;Discuss the latest bestseller over coffee and snacks;B
