Posts;Subject Line A;Subject Line B;Target
We're looking for local bands to perform at the upcoming community festival. If your band is interested, please submit a demo track and a brief bio via our festival website.;We're looking for local bands;We're looking for local bands to perform at the upcoming...;B
The annual haunted house fundraiser is back! We're looking for volunteers to help with setup, acting, and cleanup. If you love Halloween and want to be part of the fun, please sign up.;The Haunted House Fundraiser is Back;The annual haunted house fundraiser is back! We're looking for...;B
New Book Club Alert: Lovers of literature are invited to join our new monthly book club at the public library. Our first meeting will discuss 'To Kill a Mockingbird' this Saturday at 4 PM.;New Book Club Alert;New Book Club Alert: Lovers of literature are invited to...;B
A community yard sale is scheduled for next month. ...;A Community Yard Sale;A community yard sale is scheduled for next month. ......;B
"It's time for our quarterly park cleanup initiative. Gather your gloves and bags; meet us at the main entrance this Saturday at 9 AM.";It's time for our quarterly park cleanup;It's time for our quarterly park cleanup initiative. Gather your...;B
Local Art Exhibition: Visit the town hall this weekend to see amazing artworks created by our residents. Admission is free!;Local Art Exhibition;Local Art Exhibition: Visit the town hall this weekend to...;B
Calling all photographers! The city is hosting a photography contest to capture the beauty of our neighborhood. Submit your best shot by next Friday.;Calling All Photographers;Calling all photographers! The city is hosting a photography contest...;B
Streetlight maintenance is scheduled to start next Monday. Expect minor disruptions and ensure your vehicles are not parked obstructively.;Streetlight Maintenance Scheduled;Streetlight maintenance is scheduled to start next Monday. Expect minor...;B
Free Yoga classes will be starting next week in the central park. Join us every Wednesday and Friday at 6 AM to refresh and rejuvenate.;Free Yoga classes will be starting;Free Yoga classes will be starting next week in the...;A
Blood drive this weekend at the community shelter. We need your help to save lives. Donate blood and make a difference.;Blood Drive This Weekend;Blood drive this weekend at the community shelter. We need...;B
The local school board is seeking input on new curricular changes. Join the discussion at the school auditorium next Tuesday at 5 PM.;Seeking Input on New Curricular Changes;The local school board is seeking input on new curricular...;A
"Pothole repair on Main Street begins tomorrow. Traffic may be slow; please plan your travel ...";Pothole Repair Begins Tomorrow;Pothole repair on Main Street begins tomorrow. Traffic may be...;A
Fall is here and so is our annual Pumpkin Fest! Join us for pumpkin carving contests, tasting booths and more this Sunday at the town square.;Fall is Here and So is Our Annual Pumpkin Fest...;Fall is here and so is our annual Pumpkin Fest!...;B
Homeowners' meeting to discuss upcoming changes in the community bylaws. Make sure to attend this critical conversation next Friday at 6 PM.;Homeowners' meeting to discuss upcoming changes;Homeowners' meeting to discuss upcoming changes in the community bylaws....;B
"Our local firefighters are hosting a 'Fire Safety Day.' Learn how to protect your home and family; join them next Saturday at the fire station.";Learn How to Protect Your Home and Family;Our local firefighters are hosting a 'Fire Safety Day.' Learn...;A
Gardening enthusiasts, join our 'Grow Green' workshop this Thursday at the botanical garden to learn about sustainable gardening practices.;Join Our 'Grow Green' Workshop;Gardening enthusiasts, join our 'Grow Green' workshop this Thursday at...;B
Lost Pet Alert: A black and white cat has been reported lost near Elm Street. If spotted, please contact the owner at 555-0198.;Lost Pet Alert: A black and white cat has been...;Lost Pet Alert: A black and white cat has been...;A
This Sunday, enjoy a family movie night under the stars at the community park. Please bring your own blankets and snacks.;Enjoy a Family Movie Night Under the Stars;This Sunday, enjoy a family movie night under the stars...;A
Sports league registrations are now open for soccer, basketball, and volleyball. Sign up today and be part of the local team.;Sports League Registrations Are Now Open;Sports league registrations are now open for soccer, basketball, and...;A
Neighborhood Cookout: Bring your best dishes and enjoy a day of fun, food, and music in the park this Saturday starting at noon.;Bring your best dishes;Neighborhood Cookout: Bring your best dishes and enjoy a day...;B
Elder care workshop available this month. Learn valuable caregiving techniques and meet other caregivers. Register at the community center.;Elder Care Workshop Available This Month...;Elder care workshop available this month. Learn valuable caregiving techniques...;A
"Interested in quilting? Join our weekly quilting bee, each Monday at the senior center; all skill levels welcome.";Interested in Quilting?;Interested in quilting? Join our weekly quilting bee, each Monday...;A
