Subject Line A;Subject Line B
Get ready to groove with us! The city's summer concert...;Get ready to groove with us
Attention all artists! Our annual Art Show will be held...;Attention all artists!
Don't miss out on our free Yoga Day event next...;Yoga Day event next Sunday in the park
Movie Night at the Park: Join us for a free...;Free Movie Under the Stars
The local farmers' market is looking for vendors to sell...;Local Farmers' Market Opportunity
The local library is hosting an author reading and book...;Book Signing Event
Free Books: A collection of gently used books available for...;Free Books for All
Community Garden Plot Available: We have an open plot in...;Community Garden Plot for Adoption
Lost Cat: A friendly cat named Whiskers has gone missing...;Lost Cat
Local Artisans Wanted: We're looking for local artisans who create...;Local Artisans for Holiday Market
For sale: A gently used bicycle with a comfortable seat...;Test Ride And Make An Offer
The local library is hosting a book club meeting this...;Refreshments will be provided
The local library is hosting a book club for adults...;Book Club for Science Fiction and Fantasy Fans
We are seeking donations of gently used bicycles to support...;Supporting Bike-to-School Program
The city is organizing a neighborhood clean-up event this Saturday...;Register Online for Neighborhood Clean-up Supplies
I'm looking for recommendations on local hiking trails suitable for...;Family-friendly hiking trails
Does anyone know of any upcoming concerts or music festivals...;Upcoming concerts and music festivals
The local farmers' market is looking for vendors to sell...;Handmade crafts
Garage Sale Alert! This Saturday, come find some amazing deals...;Garage Sale Alert!
Community event: The annual SummerFest is coming up on July...;SummerFest at the town square
The town's annual holiday market is just around the corner!...;Join Our Holiday Market
Attention all residents: The annual community clean-up event is scheduled...;Join Your Neighbors for the Annual Community Clean-up
The local library is hosting a book club discussion on...;Join Classic Literature
Reminder: The annual town clean-up event is scheduled for next...;Annual town clean-up event
New Book Club starting soon! Join fellow book lovers every...;Book lovers unite every third Thursday
Community Garden plots available! If you're interested in growing your...;Reserve Your Community Garden Plot Today!
"Local Business Spotlight: Our very own ""The Daily Grind"" coffee...";Coffee Shop Anniversary
Movie Night at the Community Center this Friday! Join us...;Movie Night at the Community Center this Friday!
Join us for a free yoga class at the park...;Free yoga class at the park
Volunteer Opportunity: Help clean up our local beach on Sunday...;Help clean up our local beach on Sunday
Book Club Meeting: Discuss the latest bestseller over coffee and...;Book Club Meeting
Community Event: Join us for an evening of live music,...;Live music and food in town square
Language Exchange: Practice your language skills with native speakers while...;Language Exchange
The annual Holiday Market is just around the corner! Join...;December 10th at City Hall
Job alert: Local bookstore is hiring part-time book handlers. If...;Perfect Job for You
The town's annual Christmas tree lighting ceremony will take place...;Join us for the holiday season
This month, the local art studio is offering a series...;Create something beautiful
Reminder: The town's parking garage will be closed on December...;Parking garage will be closed on December 17th
Lost: A set of keys containing a house key, car...;Lost keys containing house key, car key, and office key
Community Clean-Up Day: Join us on Saturday to help keep...;Join us on Saturday for Community Clean-Up Day
The town's annual Christmas parade is just around the corner!...;Join us for the town's annual Christmas parade
Neighborhood Yard Sale: Join our community-wide yard sale on Saturday,...;Join our community-wide yard sale
Found: A small, black wallet with a few credit cards...;Found: A small, black wallet with a few credit cards...
Community clean-up event: Join us this Saturday at the park...;Join the Community Clean-up Event
The annual summer festival is just around the corner! Join...;Join us for a fun-filled day of live music
The local library is hosting a book club discussion on...;Engaging Conversation
The community garden is looking for volunteers to help with...;Community garden maintenance needed.
Join our book club next month as we discuss the...;Join Our Book Club Next Month
Our local animal shelter needs donations of pet food, toys,...;Our local animal shelter needs donations
The city is hosting a free concert series this summer...;Free Concert Series in the Park
Learn how to cook international cuisine at our cooking class...;Learn international cuisine this Saturday
Found: A set of keys with a small flashlight attached...;Found: Keys with flashlight
Creative Corner: Join our art class this Friday at the...;Friday art class
The library is hosting a free author reading and book...;Meet Local Writer
Book club alert: Our next meeting is scheduled for Thursday...;Book Discussion
For Sale: Gently used exercise equipment - treadmill, stationary bike,...;For Sale: Gently used exercise equipment
Volunteer Opportunity: Join us at the local animal shelter this...;Join us at the local animal shelter this Saturday
The local farmers market is happening this Saturday from 9:00...;The local farmers market is happening this Saturday from 9:00...
The neighborhood association will be hosting a clean-up event next...;Gloves and trash bags for the clean-up event
The town's annual BookFest celebration is just around the corner!...;BookFest celebration
The town's annual Easter egg hunt is just around the...;Join us for a fun-filled morning
Calling all music lovers! The local community center is hosting...;Benefit Concert for Youth Orchestra
